POST_TR_SGP_TABLE_RegistrationNO,PaperCode,CA1,CA2,POST_TR_TR_MSE,IA_TOTAL,POST_TR_TR_ESE,ExamHeld,ExamName,College_Code,Course_Code,Semester,,
11104107189,041402P,5,4,8,17,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,41412,4,5,17,26,27,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,041412P,4,5,8,17,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,41503,4,5,16,25,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,041503P,4,5,7,16,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
11104107189,41504,4,5,12,21,43,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,041504P,4,5,7,16,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
11104107189,41561,4,5,15,24,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,41811,5,5,11,21,14,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,041811P,4,4,7,15,25,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,41880,5,4,8,17,13,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,51401,5,4,18,27,27,"MAY, 2018","B.TECH 4TH SEMESTER EXAMINATION,2018",107,104,4,,
11104107189,051401P,5,4,8,17,24,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,51414,4,4,16,24,8,"MAY, 2018","B.TECH 4TH SEMESTER EXAMINATION,2018",107,104,4,,
11104107189,051414P,4,4,7,15,26,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,51813,5,5,15,25,21,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,051824P,8,8,18,34,52,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,61201,4,5,16,25,29,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,061201P,5,4,8,17,24,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,61502,5,4,18,27,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
11104107189,061502P,5,4,9,18,25,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
11104107189,61805,5,5,14,24,25,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
11104107189,211101,4,5,13,22,48,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,211202,4,5,16,25,25,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,211303,4,4,17,25,35,"FEB, 2017","B.TECH. 3RD SEMESTER EXAMINATION, 2016",107,104,3,,
11104107189,211404,4,5,17,26,35,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,211404P,4,4,8,16,24,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11104107189,221201,5,5,18,28,25,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,221201P,5,5,9,19,27,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,231101,5,0,16,21,39,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,231101P,5,5,9,19,29,"Feb, 2013","B.TECH. 1ST SEMESTER EXAMINATION,2012",107,104,1,,
11104107189,241205,4,5,12,21,39,"Jul, 2013","B.TECH. 2ND SEMESTER EXAMINATION, 2013",107,104,2,,
11104107189,241301,5,5,16,26,42,"FEB, 2017","B.TECH. 3RD SEMESTER EXAMINATION, 2016",107,104,3,,
11104107189,241306,4,4,17,25,33,"FEB, 2017","B.TECH. 3RD SEMESTER EXAMINATION, 2016",107,104,3,,
11104107189,241402,4,4,15,23,41,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
11106107241,31342,,,,0,43,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
11106107246,221201,,,,0,28,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2,,
11106107246,231101,,,,0,34,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1,,
11109107263,91304,,,,0,26,"JAN,2016","B.PHARM 3RD SEMESTER EXAMINATION, 2015",107,109,3,,
11109107263,91401,NULL,NULL,NULL,0,25,"MAY,2016","B.PHARM 4TH SEMESTER EXAMINATION, 2016",107,109,4,,
11109107263,91402,NULL,NULL,NULL,0,31.5,"MAY,2016","B.PHARM 4TH SEMESTER EXAMINATION, 2016",107,109,4,,
11109107263,91405,NULL,NULL,NULL,0,35,"MAY,2016","B.PHARM 4TH SEMESTER EXAMINATION, 2016",107,109,4,,
11109107263,91406,NULL,NULL,NULL,0,15,"JULY, 2017","B.PHARM. 4TH SEMESTER EXAMINATION, 2017",107,109,4,,
12101107032,21102,,,,0,28,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,101,1,,
12101107041,21102,,,,0,AB,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,101,1,,
12102107920,211101,,,,0,61,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,102,1,,
12102111082,221101,,,,0,25,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,101,1,,
12103107123,31101,,,,0,45,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,103,1,,
12103107130,211101,,,,0,38,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,103,1,,
12104107157,11101,AB,AB,16,16,28,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,011101P,3,4,8,15,28,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,11102,5,5,16,26,52,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,011102P,5,5,7,17,28,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,21101,5,4,18,27,44,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,021101P,4,4,8,16,26,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,021103P,9,8,18,35,55,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,21202,3,AB,16,19,35,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,021202P,3,AB,AB,3,22,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,31201,3,3,17,23,46,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,031201P,4,4,9,17,23,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,31342,5,2,12,19,39,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,031342P,5,4,7,16,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,31507,5,4,19,28,25,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,031507P,5,4,9,18,28,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,31511,4,5,17,26,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
12104107157,031511P,4,5,8,17,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,31605,5,5,14,24,25,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,031605P,4,4,9,17,25,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,31606,4,5,19,28,33,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,31610,5,5,10,20,41,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,31812,4,4,10,18,32,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,031812P,4,4,9,17,28,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,41301,4,4,19,27,29,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,041301P,4,4,8,16,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,41308,5,5,14,24,32,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,041308P,3,5,8,16,27,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,41402,4,5,20,29,42,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,041402P,5,5,9,19,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,41412,4,5,18,27,37,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,041412P,4,5,8,17,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,41503,4,5,13,22,28,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,041503P,4,5,7,16,28,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,41504,5,5,AB,10,31,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,041504P,4,5,8,17,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,41561,4,5,18,27,,"DEC, 2017","B.TECH. 5TH SEMESTER EXAMINATION, 2017",107,104,5,,
12104107157,41605,5,5,15,25,44,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,41606,5,5,14,24,28,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,041606P,5,5,9,19,24,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,41668,4,4,18,26,46,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,104,6,,
12104107157,41811,4,4,10,18,26,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,041811P,4,4,7,15,26,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,41880,5,4,10,19,25,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,51401,5,4,17,26,32,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,051401P,5,4,8,17,27,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,51414,4,4,16,24,41,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,051414P,4,4,7,15,24,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,51813,5,5,17,27,28,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,051824P,9,9,18,36,54,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,61201,4,5,16,25,48,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,061201P,4,4,8,16,27,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,61502,5,4,18,27,25,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,061502P,5,5,9,19,26,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,104,5,,
12104107157,61805,5,5,16,26,25,"MAY, 2018","B.TECH. 8TH SEMESTER EXAMINATION, 2018",107,104,8,,
12104107157,211101,5,5,14,24,62,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,211202,4,4,16,24,63,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,211303,4,4,18,26,60,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,211404,4,5,18,27,47,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,211404P,4,4,8,16,26,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107157,221201,4,4,18,26,43,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,221201P,5,4,7,16,28,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,231101,5,4,18,27,48,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,231101P,4,5,9,18,28,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,104,1,,
12104107157,241205,4,5,13,22,50,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,104,2,,
12104107157,241301,5,5,17,27,38,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,241306,4,4,17,25,44,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12104107157,241402,5,4,16,25,46,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,104,4,,
12104107936,31342,,,,0,54,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,104,3,,
12106107204,51301,,,,0,43,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3,,
12106107205,31201,,,,0,46,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2,,
12106107205,41301,,,,0,25,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3,,
12106107205,221201,,,,0,37,"MAY, 2016","B.TECH. 2ND SEMESTER EXAMINATION, 2016",107,106,2,,
12106107950,211303,,,,0,57,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,106,3,,
12106107951,31201,,,,0,45,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,106,2,,
12106107951,211101,,,,0,29,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,106,1,,
12107107218,11201,AB,AB,14,14,42,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,011201P,3,4,7,14,27,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,11202,5,5,17,27,33,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,011202P,5,5,7,17,27,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,21102,AB,3,14,17,44,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,107,1,,
12107107218,021102P,AB,3,6,9,25,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,21201,4,3,15,22,35,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,021201P,4,5,7,16,27,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,021203P,9,10,17,36,56,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,21305,5,5,17,27,40,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,21306,4,5,16,25,30,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,021306P,4,4,8,16,25,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,21307,4,4,18,26,42,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,31101,3,3,18,24,39,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,031101P,4,4,9,17,24,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,41401,4,4,15,23,43,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,041401P,3,4,7,14,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,51401,3,5,19,27,28,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,051401P,4,5,8,17,25,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,61101,5,5,18,28,33,"JAN,2016","B.TECH 1ST SEMESTER EXAMINATION, 2015",107,107,1,,
12107107218,061101P,5,5,7,17,26,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,71301,5,4,17,26,39,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,071301P,5,4,9,18,26,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,71402,5,4,15,24,36,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,71403,5,4,7,16,42,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,71404,4,5,16,25,36,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,071404P,4,5,8,17,26,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,71505,4,4,16,24,38,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,071505P,4,4,7,15,26,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,71506,5,4,18,27,26,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,071506P,4,5,9,18,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,71507,4,5,15,24,33,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,71508,4,5,15,24,25,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,071508P,4,5,9,18,27,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,71509,5,5,8,18,39,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,071509P,5,4,8,17,26,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,71610,5,4,18,27,34,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,071610P,5,4,9,18,28,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,71611,5,4,18,27,51,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,71612,4,5,13,22,48,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,071612P,4,4,9,17,26,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,71613,5,4,7,16,43,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,071613P,5,4,7,16,26,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,71614,4,5,14,23,33,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107218,71821,5,5,18,28,51,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,71822,5,5,13,23,35,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,71823,5,4,10,19,40,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,071823P,5,4,8,17,27,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,71824,4,5,14,23,47,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,071824P,5,4,8,17,28,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,71825,4,5,16,25,48,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,071825P,5,4,9,18,27,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,071826P,9,9,18,36,52,"May, 2018","B.TECH 8TH SEMESTER EXAMINATION, 2018",107,107,8,,
12107107218,211101,5,5,14,24,37,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,211202,4,4,17,25,46,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,211303,4,4,19,27,52,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,211404,4,4,17,25,29,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,211404P,4,4,7,15,24,"MAY,2016","B.TECH 4TH SEMESTER EXAMINATION, 2016",107,107,4,,
12107107218,221101,5,4,16,25,27,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,221101P,4,4,8,16,26,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,231201,5,5,16,26,26,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,231201P,4,4,10,18,27,"MAY, 2015","B.TECH 2ND SEMESTER EXAMINATION, 2015",107,107,2,,
12107107218,241105,4,5,14,23,32,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107218,241301,5,5,15,25,31,"JAN,2016","B.TECH 3RD SEMESTER EXAMINATION, 2015",107,107,3,,
12107107218,241502,4,5,16,25,37,"FEB,2017","B.TECH 5TH SEMESTER EXAMINATION, 2016",107,107,5,,
12107107218,241606,5,5,10,20,43,"JULY, 2017","B.TECH. 6TH SEMESTER EXAMINATION, 2017",107,107,6,,
12107107220,211101,,,,0,25,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107220,221101,,,,0,29,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107222,211101,,,,0,39,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
12107107222,221101,,,,0,25,"DEC, 2014","B.TECH 1ST SEMESTER EXAMINATION, 2014",107,107,1,,
